time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_traction_power_w,available_traction_power_w,actual_traction_power_w,preconditioning_thermal_power_w,preconditioning_aux_power_w,battery_terminal_power_w,power_closure_residual_w,preconditioning_reason
710.0,0.30572787209322466,24.866091600483053,24.39741172228748,17306.49102878897,220000.0,17306.49102878897,0.0,0.0,17306.491028789027,5.820766091346741e-11,temperature_in_benefit_band
715.0,0.30538690742565894,24.872410810144824,24.40236903509981,17106.652637168914,220000.0,17106.652637168914,0.0,0.0,17106.65263716896,4.729372449219227e-11,temperature_in_benefit_band
720.0,0.3050503378546618,24.87858585380719,24.407344453957105,16887.020181189677,220000.0,16887.020181189677,0.0,0.0,16887.020181189644,-3.2741809263825417e-11,temperature_in_benefit_band
725.0,0.3047185127509508,24.88460739201557,24.412334700065237,16650.000000000004,220000.0,16650.000000000004,0.0,0.0,16649.99999999999,-1.4551915228366852e-11,temperature_in_benefit_band
730.0,0.3043917291011188,24.890467902454485,24.417336379456756,16398.188936304658,220000.0,16398.188936304658,0.0,0.0,16398.18893630456,-9.822542779147625e-11,temperature_in_benefit_band
735.0,0.30407022827241603,24.896161742832525,24.42234602184929,16134.34588481236,220000.0,16134.34588481236,0.0,0.0,16134.345884812325,-3.456079866737127e-11,temperature_in_benefit_band
740.0,0.30375419339635884,24.90168518685804,24.427360119912915,15861.361565207955,220000.0,15861.361565207955,0.0,0.0,15861.361565207984,2.9103830456733704e-11,temperature_in_benefit_band
745.0,0.3034437473983658,24.90703643407795,24.432375168399346,15582.226850822663,220000.0,15582.226850822663,0.0,0.0,15582.226850822737,7.457856554538012e-11,temperature_in_benefit_band
750.0,0.30313895169319044,24.912215594860342,24.437387702613236,15300.000000000002,220000.0,15300.000000000002,0.0,0.0,15300.000000000024,2.1827872842550278e-11,temperature_in_benefit_band
755.0,0.3028398055583535,24.91722465223368,24.44239433574284,15017.77314917734,220000.0,15017.77314917734,0.0,0.0,15017.773149177341,1.8189894035458565e-12,temperature_in_benefit_band
760.0,0.3025462461901755,24.922067402640277,24.447391794612077,14738.638434792048,220000.0,14738.638434792048,0.0,0.0,14738.63843479207,2.1827872842550278e-11,temperature_in_benefit_band
765.0,0.30225814943945634,24.926749377911882,24.45237695346678,14465.654115187648,220000.0,14465.654115187648,0.0,0.0,14465.6541151877,5.275069270282984e-11,temperature_in_benefit_band
770.0,0.3019753312164346,24.931277750927716,24.45734686546245,14201.811063695335,220000.0,14201.811063695335,0.0,0.0,14201.811063695282,-5.275069270282984e-11,temperature_in_benefit_band
775.0,0.30169754954746164,24.935661227471105,24.462298791577485,13950.000000000002,220000.0,13950.000000000002,0.0,0.0,13950.000000000096,9.458744898438454e-11,temperature_in_benefit_band
780.0,0.30142450725891234,24.939909926765594,24.467230226731925,13712.979818810323,220000.0,13712.979818810323,0.0,0.0,13712.979818810316,-7.275957614183426e-12,temperature_in_benefit_band
785.0,0.301155855257301,24.944035253053503,24.472138922946513,13493.347362831084,220000.0,13493.347362831084,0.0,0.0,13493.347362831068,-1.6370904631912708e-11,temperature_in_benefit_band
790.0,0.300891196368422,24.948049760391594,24.477022909427436,13293.508971211035,220000.0,13293.508971211035,0.0,0.0,13293.508971211113,7.821654435247183e-11,temperature_in_benefit_band
795.0,0.30063008969265415,24.951967012594565,24.4818805095083,13115.654115187644,220000.0,13115.654115187644,0.0,0.0,13115.654115187694,4.9112713895738125e-11,temperature_in_benefit_band
800.0,0.3003720554283846,24.955801439973715,24.486710354420932,12961.731409782014,220000.0,12961.731409782014,0.0,0.0,12961.731409781938,-7.639755494892597e-11,temperature_in_benefit_band
805.0,0.30011658011087206,24.95956819421302,24.49151139390016,12833.427264364978,220000.0,12833.427264364978,0.0,0.0,12833.427264365004,2.546585164964199e-11,temperature_in_benefit_band
810.0,0.2998631222097991,24.96328300241589,24.496282903654496,12732.147406003085,220000.0,12732.147406003085,0.0,0.0,12732.147406003101,1.6370904631912708e-11,temperature_in_benefit_band
815.0,0.2996111180252886,24.96696202106018,24.50102448975457,12659.001478018725,220000.0,12659.001478018725,0.0,0.0,12659.001478018656,-6.912159733474255e-11,temperature_in_benefit_band
